t,bola_pos,punto_referencia,angulo_viga,kp,ki,kd
80.5334,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.5493,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.5658,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.5831,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.5996,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.6163,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.6330,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.6492,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.6656,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.6818,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.6983,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.7148,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.7328,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.7497,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.7652,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.7819,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.7984,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.8149,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.8312,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.8477,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.8642,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.8809,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.8975,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.9140,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.9304,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.9470,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.9643,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.9800,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
80.9975,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.0140,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.0306,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.0468,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.0639,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.0814,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.0985,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.1148,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.1320,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.1490,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.1655,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.1829,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.1998,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.2153,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.2318,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.2483,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.2648,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.2815,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.2980,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.3145,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.3309,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.3475,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.3640,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.3807,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.3972,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.4136,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.4291,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.4457,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.4630,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.4799,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.4964,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.5132,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.5294,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.5460,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.5627,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.5783,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.5948,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.6115,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.6282,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.6455,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.6627,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.6796,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.6957,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.7115,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.7280,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.7445,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.7612,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.7777,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.7931,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.8100,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.8265,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.8428,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.8598,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.8772,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.8941,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.9108,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.9272,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.9442,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.9607,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.9768,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
81.9939,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.0103,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.0266,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.0431,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.0600,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.0764,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.0920,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.1088,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.1259,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.1430,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.1595,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.1758,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.1928,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.2094,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.2264,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.2428,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.2603,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.2768,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.2931,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.3100,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.3275,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.3440,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.3607,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.3772,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.3936,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.4095,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.4257,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.4412,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.4573,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.4742,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.4910,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.5072,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.5246,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.5413,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.5577,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.5753,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.5920,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.6091,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.6254,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.6419,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.6591,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.6765,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.6929,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.7098,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.7270,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.7444,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.7610,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.7773,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.7944,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.8110,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.8281,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.8447,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.8615,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.8778,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.8944,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.9112,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.9277,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.9448,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.9612,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.9777,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
82.9932,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.0096,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.0251,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.0418,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.0591,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.0756,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.0928,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.1096,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.1251,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.1419,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.1592,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.1767,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.1930,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.2099,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.2264,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.2432,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.2597,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.2752,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.2919,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.3084,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
83.3249,280.0000,0.0000,0.340000,0.007000,0.000600,0.000400
